title,ingredients,instructions,ing_clean
tinklee's vanilla crack,"['1 box salted soda crackers (I use saltines)', '1 cup salted butter', '1 cup white granulated sugar', '2 tsp vanilla extract', '1/2 cup salted nut pieces']","['preheat oven to 350 degrees F rack in middle position, line a 10 x 15"" cookie sheet with heavy foil (jellyroll pan works great), having the foil go up the sides, spray foil with cooking sray', 'cover the bottom of the cookie sheet with a single layer of soda crackers, salt side up, ( you can break them in to smaller pieces to fit if you have to, set cracker lined pan aside', 'combine butter, white sugar and vanilla in a heavy sauce pan, bring to a full boil over medium high heat stirring constantly, ( a full boil will have breaking bubbles all over the surface of the pan) boil it for exactly 5 minutes, stirring constantly', 'when times up, pour mixture carefully over the soda crackers as evenly as you can, sprinkle the salted nut pieces over the top,', 'slide the pan into the oven to bake for 10 minutes, remove the pan from the oven and let it cool on a wire rack, when cookies have cooled all the way, peel off the foil backing and break into ramdom size pieces']","saltines, sugar"
erin's mashed potatoes,"['4 large potatoes', '1 can beef broth', '1 can water', '12 cup red wine', '12 cup teriyaki sauce', '2 tablespoons garlic, minced', '12 cup sour cream']","['Peel the potatoes and quarter.', 'Add all ingredients to a medium saucepan and simmer until the potatoes are tender.', 'Remove potatoes from cooking liquid and mash to desired consistencey (I like mine a bit lumpy).', 'Add a few spoonfuls of the cooking liquid and the sour cream and combine.', 'Serve as a side with steak!']","potatoes, beef, broth, water, red, wine, teriyaki"
banana cream pie smoothie,"['1 whole Vanilla Wafer Cookie', '1- 1/2 whole Peeled Bananas, Frozen', '2 cups Coconut Milk, Unsweetened From Carton', '2 Tablespoons Fat-free Half-and-half', '1 Tablespoon Vanilla Extract', '1/2 teaspoons Stevia (more To Taste)', '1 cup Ice Cubes', '4 Tablespoons Whipped Cream']","['Place vanilla wafer cookie in a baggie, seal bag and crush it into tiny pieces (I rolled a rolling pin over it).', 'Set aside.', 'In a blender add banana, coconut milk, half-and-half, vanilla extract, stevia and ice cubes.', 'Put the lid on and blend until smooth.', 'Pour into 2 cups and top each smoothie with whipped cream and crushed wafer cookie.']","Vanilla, Wafer, Cookie, Peeled, Bananas, Frozen, Milk, Unsweetened, Fatfree, Halfandhalf, Vanilla, Extract, Stevia, Ice, Cubes, Whipped, Cream"
frosty lemon ice cream sandwiches,"['32 HoneyMaid Graham Wafers', '4 cups vanilla ice cream, slightly softened', '3/4 cup frozen lemonade concentrate, thawed', ""1 cup Baker's Chocolate Chips, melted"", '1/4 cup butter or margarine']","['LINE the bottom of a 9"" (2.5L) square pan with wax paper and graham wafers, completely covering base of pan.', 'BLEND ice cream and lemonade, mixing well.', 'Pour over graham wafer base.', 'Cover with remaining wafers.', 'Freeze 1 hour or until firm.', 'COMBINE melted chocolate chips and butter and spread evenly over top graham layer.', 'Freeze until firm, about 2 hours.', 'Cut into squares or bars with warmed sharp knife.']","Graham, Wafers, Bakers, Chocolate, Chips, butter"
apple cinnamon french toast strata,"['1 loaf cinnamon-swirl bread, cubed (with raisin if you like them)', '1 (8 ounce) package cream cheese, cubed', '1 cup diced apple', '8 eggs', '2 12 cups half-and-half or 2 12 cups light cream', '8 tablespoons melted butter', '14 cup maple syrup']","['Coat a 9x13 baking dish with spray of oil.', 'Arrange half of the bread in the dish.', 'Spread the cream cheese cubes over the bread and then the apples.', 'Top with remaining bread.', 'In a large bowl beat the eggs and cream, butter and maple syrup.', 'Pour over the bread.', 'Cover with plastic wrap and refrigerate overnight or at least 2 hours.', 'Preheat the oven to 325F and bake 45 minutes of until set and lightly browned.', 'Let stand at least 15 minutes before serving with extra maple syrup.']","bread, apple, butter, maple, syrup"
margarita madras,"['3 ounces orange juice', '1 ounce white tequila', '1 ounce triple sec', '1 ounce cranberry juice', 'orange wedge, for garnish', 'coarse sugar, for garnish']","['Combine the orange juice, tequila, triple sec, and cranberry juice in a cocktail shaker filled with 3/4 cup ice.', 'Shake vigorously.', 'Pour into a glass.', 'Garnish with an orange wedge.', 'Variation-for a pink-hued rim, dip the rim of the glass in grenadine before coating with sugar.']","orange, juice, white, tequila, triple, sec, juice"
guacamole,"['2 ripe avocados', '1 garlic clove, minced', '4 ounces cream cheese, at room temperature', '12 lime, juice of', '1 tablespoon cilantro', '4 ounces sour cream', 'fresh jalapeno (to taste)', 'chopped fresh tomato (optional)']","['Mix above ingredients together until smooth.', 'Enjoy!']","juice, tomato, optional"
praline kisses,"['1 egg white, room temperature', '18 teaspoon salt', '1 cup packed brown sugar', '1 tablespoon all-purpose flour', '18 teaspoon cinnamon', '1 teaspoon vanilla extract', '1 12 cups chopped toasted pecans']","['Preheat oven to 325 degrees farenheit.', 'Grease 3 large baking sheets.', 'In a small mixing bowl, beat egg white and salt at medium speed until soft peaks form.', 'Increase speed to medium-high and add sugar a tablespoon at a time, beating until all the sugar is incorporated (mixture will be thick).', 'Stir in flour, cinnamon, vanilla and nuts.', 'Drop mixture by level teaspoons, 1 1/2 inches apart, on prepared baking sheets.', 'Bake 10 to 13 minutes, or until they are dry and firm on the top.', 'Cook 1 minute on baking sheets.', 'Transfer to racks to cool completely.', 'Store in an airtight container at room temperature for up to 10 days or freeze for longer storage.']","room, temperature, salt, packed, brown, sugar, allpurpose, flour, toasted, pecans"
apple carrot bones (dog treat),"['2 1/2 cup wheat flour', '1/2 cup rolled oats', '1 tbsp brown sugar', '2 tbsp dried parsley (optional - helps with bad breath)', '1 apple - cored, peeled and grated', '2 carrots - peeled and grated', '1 egg - beaten', '1/3 cup vegetable oil', '1/4 1/2 cup of water']","['Preheat oven to 350F and line baking sheet with parchment paper.', 'Combine flour, oats, sugar and parsley.', 'In separate bowl, combine egg, oil, apple and carrot.', 'Stir flour mixture into egg mixture, slowly adding water and kneading until a dough forms.', '*If dough is too sticky, add more flour.', 'Roll dough out on a lightly floured surface to 1/4"" thick and cut out shapes.', 'Knead scraps together, roll out, cut out shapes, and repeat until all dough is used.', 'Place on baking sheet and bake for 40-45 minutes.', 'Turn oven off and leave in oven for 20 minutes to allow bones to dry out and crisp.']","wheat, flour, rolled, oats, brown, sugar, vegetable, oil"
penne with smoked trout and sugar snap peas,"['1 lb penne rigate', '3/4 lb sugar snap peas, trimmed and halved diagonally', '2/3 cup heavy cream', '1 (1/2-lb) whole smoked trout, head, skin, bones, and tail discarded and flesh coarsely flaked', '1 tablespoon finely grated fresh lemon zest', '1/4 cup chopped fresh dill', '1/2 teaspoon salt', '1/2 teaspoon black pepper']","['Cook pasta in a large pot of 2 minutes less than package instructions indicate, then add sugar snaps and cook until sugar snaps are tender, about 2 minutes more.', 'Reserve 1/4 cup cooking water, then drain pasta and sugar snaps in a colander and return to pot.', 'Boil cream in a 1- to 1 1/2-quart heavy saucepan, uncovered, 2 minutes, then add to pasta along with trout, zest, reserved cooking water, dill, salt, and pepper and toss until combined.']","penne, rigate, sugar, snap, peas, head, skin, bones, dill, salt, black, pepper"
dried fruit salad with philly* cream,"['1 cup water', '1/2 cup orange juice', '1 tablespoon sugar', '200g dried fruit salad mix, large pieces halved', '50g dates, quartered', '1 cinnamon stick', '125g tub PHILADELPHIA Light Spreadable Cream Cheese', '1 tablespoon reduced fat milk', '1 teaspoon honey', '1/4 cup flaked almonds, toasted']","['Bring water, juice and sugar to the boil in a saucepan.', 'Simmer for 2-3 minutes until sugar has dissolved.', 'Add dried fruits and cinnamon stick, simmer a further 5 minutes.', 'Whisk together the Philly*, milk and honey until smooth.', 'Serve fruits warm with Philly* cream and toasted almonds.']","water, orange, juice, sugar, PHILADELPHIA, Cream, Cheese, reduced, fat, milk, honey, flaked, almonds"
cheesy herbed egg sandwich,"['2 eggs, scrambled', '2 Tbsp. PHILADELPHIA Chive & Onion Cream Cheese Spread', '1 English muffin, split, toasted', '1 KRAFT Singles']","['COOK the eggs over medium heat until fluffy, stirring frequently.', 'Stir in the cream cheese, until well blended.', 'SPOON the cream cheese mixture onto one muffin half.', 'TOP with the egg mixture and cheese slice.', 'Top with the remaining muffin half.']","Cream, Cheese, Spread, muffin, split, Singles"
chirashi (scattered) sushi,"['6 cups prepared sushi rice (see recipe)', '2 Hass avocados in 1/2-inch strips', 'Salt', '1 pound cucumber, carrot or daikon, or a combination, cut into matchsticks', '2 sheets nori (7 by 8 inches), cut into confetti', '2 pounds fillets of fresh salmon, tuna, yellowtail, fluke or striped bass, in slices 3 inches by 1 inch by 1/4 inch thick', '1 bunch scallions, cut in thin rings halfway up the green tops', '2 teaspoons sesame seeds']","['Place a cup of rice, cooled to just above room temperature, in the bottom of each of 6 bowls, and add a layer of the avocado slices, distributing evenly in any pattern you choose.', 'Sprinkle a pinch or two of salt over each bowl.', 'Add the raw matchstick vegetables in an even, randomly arranged layer, and sprinkle on the nori confetti.', 'Add the fish on top, arranging as you wish, perhaps in twists or rolls.', 'Scatter scallions and sesame seeds on top.', 'Serve with condiments like soy sauce, wasabi, pickled ginger and rice vinegar, so diners can season and toss sushi with chopsticks or spoons.']","sushi, rice, recipe, avocados, fillets, scallions, sesame, seeds"
super easy pie crust,"['1- 1/2 cup All-purpose Flour', '1 Tablespoon White Sugar', '1/2 teaspoons Salt', '1/2 cups Vegetable Oil', '2 Tablespoons Milk']","['If not filling the crust, preheat oven to 400 degrees.', 'If youre going to fill the crust, follow your recipe directions, add the filling, and baking accordingly.', 'Place all the ingredients into a 9 pie pan.', 'Stir together with a fork.', 'Pat the mixture into the bottom and up the sides of the pan.', 'Poke holes into the bottom and sides of the crust (if you are not filling it).', 'Bake for 15 minutes in a preheated oven or until golden brown.', 'Fill as desired!', '(I used this recipe to make a pumpkin pie, filling and baking it.', 'It came out great!)']","Allpurpose, Flour, White, Sugar, Salt, Vegetable, Oil, Milk"
creme curd cups,"['1/4 cup heavy cream', ""1/2 (10 ounce) jar Dickinson's Lemon Curd, or any flavor Dickinson's Fruit or Creme Curd"", '1 (4 ounce) package cream cheese, softened', '1 (15 count) box phyllo dessert cups', 'Fruit slices, cookie pieces, candy sprinkles, chocolate shavings (optional)']","['Whip cream in small bowl until it holds stiff peaks.', 'Stir together curd and cream cheese in separate bowl until smooth.', 'Fold whipped cream into curd mixture.', 'Pipe or spoon mixture into shells.', 'Top with your favorite garnish.', 'Refrigerate until serving.']","jar, Dickinsons, Lemon, Curd, shavings"
barbecue baked potatoes,"['4 large baking potatoes (2 lb./900 g) Safeway 2 pkg For $5.00 thru 02/09', '1/2 cup sour cream', ""1/4 cup Bull's-Eye Bold Original Barbecue Sauce"", '2 green onions, sliced', '1/4 cup French fried onions']","['Heat oven to 400 degrees F.', 'Pierce potatoes with fork or small sharp knife; place on microwaveable plate.', 'Microwave on HIGH 8 min., turning after 4 min.', 'Transfer from plate to oven.', 'Bake 20 min.', 'until potatoes are tender.', 'Cut slits in tops of potatoes; top with remaining ingredients.']","potatoes, onions, French, fried, onions"
blondie's walnut balls,"['1/2 cup semi-sweet chocolate chips', '1 tbsp water', '1 tbsp rum', '1 tbsp vanilla extract ( I add a bit extra)', '1 3/4 cup powdered sugar', '1 3/4 cup (7 ounces) ground walnuts', '1 granulated or decorative sugar']","['In medium saucepan, melt chocolate with water over low heat.', 'Continue heating; add walnuts, sugar, rum and vanilla.', 'Mix well.', 'Remove from heat; form into 1 inch balls.', 'Roll in sugar.', 'Store in refrigerator.']","water, rum, powdered, sugar, walnuts, decorative, sugar"
peanut butter bread,"['34 cup peanut butter', '12 cup sugar', '1 teaspoon vanilla', '12 teaspoon salt', '1 34 cups milk', '2 14 cups whole wheat flour', '4 teaspoons baking powder']","['In a large bowl, cream together the peanut butter and sugar.', 'Add the vanilla and salt and mix well.', 'Now add half the milk and half the flour, and all of the baking powder.', 'Mix very well.', 'Add the remaining milk and flour, and mix again until the batter is nice and smooth.', 'Turn the mixture into a well oiled 9 by 5-inch loaf pan.', 'Bake at 350 for about an hour.', 'Remove from the oven, and allow to cool for about 10 minutes before removing from the pan.', 'Cool completely before wrapping and storing.', 'These loaves freeze well.']","peanut, butter, sugar, vanilla, salt, milk, wheat, flour, baking, powder"
"salt free, low cholesterol sugar cookies recipe","['1/2 c. granulated sugar', '3/4 c. salt free corn oil', '1/4 c. egg beaters', '1 teaspoon grated orange rind', '1/4 teaspoon orange juice', '1 tbsp. low sodium baking powder', '3 1/2 c. flour, all purpose']","['Cream sugar and butter together till smooth.', 'Add in egg beaters, orange rind, orange juice, and mix well.', 'Mix together low sodium baking powder and flour.', 'Add in to creamed mix and mix well.', 'Roll dough into 1 inch balls and place on ungreased cookie sheet.', 'Rub small amount of salt free butter on bottom of glass.', 'Dip glass in granulated sugar.', 'Flatten cookie dough ball slightly using flat end of glass.', 'Bake at 300 degrees for 10-12 min.']","sugar, free, oil, egg, beaters, orange, rind, orange, juice, sodium, baking, powder, flour"
spoonriver melon mint soup,"['1 large about 3 pounds cantaloupe', '12 cup apple juice', '1 12 tablespoons lime juice', '1 12 tablespoons chopped of fresh mint', '12 cup plain yogurt', '1 tablespoon honey, if needed', '1 pinch salt']","['Cut the melon into chunks, reserving the juices.', 'Put the melon and its juices into a blender along with the apple juice and lime juice and blend until smooth.', 'Add the mint for just a few seconds at the end.', 'Pour the soup into a bowl and whisk in the yogurt.', 'Taste the soup and correct the seasonings.', 'You may want to add more mint or perhaps a little honey.']","apple, juice, lime, juice, plain, yogurt, honey, salt"
revoltillos,"['3 cups cooked brown rice', '1 lb ground turkey', '1 medium onion, chopped', '1 green bell pepper, seeded and chopped', '1 (6 ounce) canof small pitted black olives, drained', '12 cup raisins']","['Brown the meat in a large skillet or dutch oven.', 'Add the onions and cook until transparent.', 'Add the bell pepper, and saute until tender.', 'Add the rice, olives, and raisins and heat through.', '(Raisins should be plump.', ').', 'Season with salt and pepper to taste.']","brown, rice, turkey, onion, bell, pepper, pitted, black, olives, raisins"
grandma's caramel corn,"['1-1/4 gal. popped corn', '1 cup butter', '2 cups brown sugar, packed', '1/2 cup light corn syrup', '1/2 tsp. baking soda', '1/2 tsp. vanilla']","['Spread popped corn in a large shallow pan.', 'Pat in 250F oven to keep.', 'Combine butter, brown sugar, and corn syrup in 2 quart sauce pan.', 'Heat at medium until sugar dissolves.', 'Continue to boil to form a firm ball (248F), about 5 minutes.', 'Remove from heat, stir in soda and syrup (will foam).', 'Pour mixture over warmed corn in a fine stream.', 'Return to oven for 45 minutes, stirring every 15 minutes.', 'Cool and store in airtight containers.']","butter, brown, sugar, light, syrup, baking, soda, vanilla"
shalom bayit kugel (potato kugel),"['10 lbs potatoes, peeled', '2 onions, peeled', '9 -10 large eggs (or 7-8 extra-large eggs)', '1 12 tablespoons salt', '14 cup oil']","['Preheat oven to 500F (yes, 500F!', ').', 'Grate the potatoes and onions on the middle sized hole of a grater; either by hand or by food processor.', 'If you grate the potatoes and onions together, the potatoes will not turn grey right away.', 'Put into a large bowl or soup pot, and mix well with remaining ingredients.', 'Grease your baking pans, and pour mixture evenly into the pans.', 'Bake for 15 minutes at 500F, then lower the oven to 400F until done (check after an hour or so; it should be golden brown on top).', 'Eat and enjoy.']","potatoes, eggs, salt, oil"
cheese omelette,"['2 eggs', 'pinch salt', 'pinch black pepper', '2 slices any cheese']","['Heat oil in pan', 'Whisk 2 eggs in a bowl and sprinkle with salt and black pepper', 'Put the whisked egg mixture into oil and fry it for a minute', 'Put slices of cheese into pan over half cooked omelette and flip it after one min', 'Take it out of pan as omelette gets inflated and color is changed...enjoy it with any tortilla or paratha (southeastern bread) with ketchup.']",pepper
sweet and spicy red pepper dip,"['2 tablespoons extra virgin olive oil', '1 large onion, chopped', '1 jalapeno, seeded and minced', '4 garlic cloves, minced', '6 large red bell peppers, roasted, peeled, and seeded', '1 tablespoon plus 1 teaspoon red wine vinegar', '1 tablespoon balsamic vinegar', '1 tablespoon light brown sugar', '1 teaspoon ground cumin', 'Salt to taste']","['Heat the oil in a large skillet over medium heat.', 'Add the onion and jalapeno and cook uncovered, stirring often, until the onion is browned, about 6 minutes.', 'During the last minute, add the garlic.', 'Let cool slightly.', 'Combine the red peppers, onion and garlic, red wine vinegar, balsamic vinegar, brown sugar, and cumin in a food processor and process to a puree.', 'Season with salt.', 'Transfer to a medium bowl and let cool completely, then cover tightly and refrigerate until chilled, at least 1 hour, or up to 2 days.', 'Transfer to a serving bowl and serve chilled.']","virgin, olive, oil, onion, red, bell, peppers, wine, vinegar, balsamic, vinegar, light, brown, sugar"
irresistible peanut butter cookies,"['34 cup creamy peanut butter', '12 cup Crisco shortening', '1 14 cups firmly packed light brown sugar', '3 tablespoons milk', '1 tablespoon vanilla', '1 egg', '1 34 cups flour', '34 teaspoon salt', '34 teaspoon baking soda']","['Combine peanut butter, Crisco, brown sugar, milk, and vanilla in a large bowl.', 'Beat at medium speed until well blended.', 'Add egg and beat just until blended.', 'Mix in the flour, salt, and baking soda at low speed and mix just till blended.', 'Drop by heaping teaspoonfuls about 2"" apart onto an ungreased sheet.', 'Flatten slightly in crisscross pattern with tines of a floured fork.', 'Bake at 375 degrees for 7-8 minutes or until set and just beginning to brown.', 'Cool for 2 minutes on the sheet before removing.']","peanut, butter, Crisco, shortening, packed, light, brown, sugar, milk, vanilla, flour, salt, baking, soda"
double cherry crumble,"['1 (21 ounce) can cherry pie filling', '1 (16 ounce) canpitted dark sweet cherries, drained', '23 cup quick oats', '12 cup Bisquick baking mix', '12 cup packed brown sugar', '14 cup chopped nuts (optional)', '14 cup butter or 14 cup margarine', '1 teaspoon cinnamon']","['Preheat oven to 375F degrees.', 'Mix pie filling& cherries in an ungreased 8x8 baking pan.', 'Combine oats, baking mix, brown sugar, nuts, butter& cinnamon until crumbly; sprinkle over fruit.', 'Bake uncovered until fruit is hot& bubbly, and topping is golden brown, approximately 45 minutes.']","pie, quick, oats, Bisquick, mix, packed, brown, sugar, nuts, optional, butter, margarine"
my watermelon slushy,"['4 cups watermelon, frozen', '1 cup lemon- lime-flavored seltzer water', '2 tablespoons Splenda sugar substitute', '12 lemon']","['In a blender put the seltzer.', 'Squeeze the juice from half a lemon on top of the seltzer.', 'Add the splenda and then the watermelon.', 'Blend until slushy.', 'Depending on your blender, you may need a tad more seltzer.']","frozen, watermelon, limeflavored, seltzer, water, sugar, substitute"
natural peanut butter chocolate bon bons,"['12 cup cocoa powder', '12 cup honey', '1 cup natural-style peanut butter']","['Measure out the cocoa powder into a mixing bowl.', 'Grease your measuring cup with a little oil or cooking spray to measure out 1/2 cup honey, and mix with the cocoa powder with a fork or whisk.', 'Blend until the mixture resembles frosting and there are no loose cocoa particles floating around.', 'Cut in the peanut butter, until the chocolate mix absorbs it.', 'Form balls of the mixture with your hands and place on a plate, and freeze for at least 2 hours prior to eating.', 'Can be eaten cold or frozen.']","powder, honey, naturalstyle, peanut, butter"
peanut butter & jelly pie,"['1 (6 oz.) ready-to-use graham cracker crumb crust', '1/2 cup seedless raspberry preserves', '1 pkg. (8 oz.) PHILADELPHIA Cream Cheese', '1/2 cup creamy peanut butter', '3/4 cup brown sugar', '1-1/2 cups COOL WHIP Whipped Topping, thawed', '1/4 cup PLANTERS Dry Roasted Peanuts, chopped', 'fresh raspberries for topping']","['Spread the raspberry preserves in an even layer on the bottom of the crust.', 'Beat together cream cheese, peanut butter and brown sugar until smooth.', 'Gently fold in Cool Whip.', 'Spread peanut butter mixture over raspberry layer.', 'Cover loosely and refrigerate for 2 hours.', 'Cut into slices and top with chopped peanuts and fresh raspberries before serving.']","seedless, raspberry, PHILADELPHIA, Cream, Cheese, peanut, butter, brown, sugar, Whipped, Topping, Dry, Roasted, Peanuts"
german potato dumplings,"['1 cup mashed potatoes', '1 cup flour', '1 bunch fresh parsley']","['Mix the mashed potatoes together with the flour.', 'DON\'T knead, because the dumplings will ""sink"".', 'Shape the dough into small balls.', 'Place in a kettle of boiling salted water.', 'Once they rise to the surface, let them cook for 10 minutes.', 'Drain and sprinkle with fresh parsley.', 'Serve as side dish.']","potatoes, flour, parsley"
easy cheese sauce,"['6 ounces process American cheese, sliced', '13 cup milk', '14 teaspoon onion salt', '1 drop red pepper sauce (optional)']","['Put milk, onion salt and pepper sauce into a medium saucepan.', 'Tear cheese into small pieces and add to pan.', 'Heat over medium-low to medium heat until cheese is melted and mixture is smooth.']","process, milk, onion, salt, sauce, optional"
wake-up quesadilla,"['2 frozen BOCA Veggie Breakfast Links', '1 flour tortilla (6 inch)', '1 Tbsp. PHILADELPHIA 1/3 Less Fat than Cream Cheese']","['Heat breakfast links as directed on package; cut lengthwise in half.', 'Spread tortilla with reduced-fat cream cheese; top with links.', 'Fold tortilla in half.', 'Cook in nonstick skillet on medium heat 2 min.', 'on each side or until lightly browned on both sides.']","BOCA, Veggie, Breakfast, Links, Fat"
easy chocolate frosting recipe,"['3 ounce. unsweetened chocolate', '3 ounce. cream cheese, softened', '1/4 c. lowfat milk', ""4 c. confectioners' sugar"", '1/2 teaspoon salt']","['Heat chocolate on top of double boiler.', 'Combine cream cheese with lowfat milk and gradually add in sugar and salt.', 'Stir in melted chocolate and beat till smooth.', 'Makes 2 c. frosting.']","lowfat, milk, salt"
lemon gelatin n fruit salad,"['1 (3 ounce) package lemon Jell-O gelatin', '1 (8 ounce) candrained crushed pineapple', '1 (15 ounce) candrained fruit cocktail', '1 cup cottage cheese', '1 (5 ounce) can evaporated milk', '12 cup mayonnaise', '12 cup chopped pecans (I use a cup because my family loves nuts)']","['Use 3/4 cup boiling water to dissolve Jello - chill before adding milk', 'Add the milk and fruit.', 'Stir in other ingredients.', 'Pour in to shallow dish.', 'Cover and put in the frig.', 'to set.']","pineapple, milk, mayonnaise, pecans, family, nuts"
